N,Method,Time
50,In-Sample,0.0016498565673828125
50,In-Sample,0.0006780624389648438
50,In-Sample,0.0006890296936035156
50,In-Sample,0.0007805824279785156
50,In-Sample,0.0006680488586425781
50,In-Sample,0.0007238388061523438
50,In-Sample,0.0006601810455322266
50,In-Sample,0.0008111000061035156
50,In-Sample,0.0006997585296630859
50,In-Sample,0.0006542205810546875
50,In-Sample,0.0007741451263427734
50,In-Sample,0.000843048095703125
50,In-Sample,0.0007901191711425781
50,In-Sample,0.0007710456848144531
50,In-Sample,0.0008478164672851562
50,In-Sample,0.0007367134094238281
50,In-Sample,0.0008132457733154297
50,In-Sample,0.0006740093231201172
50,In-Sample,0.0006620883941650391
50,In-Sample,0.0007798671722412109
50,In-Sample,0.0007948875427246094
50,In-Sample,0.0008020401000976562
50,In-Sample,0.0007102489471435547
50,In-Sample,0.0006682872772216797
50,In-Sample,0.0007371902465820312
50,In-Sample,0.0008349418640136719
50,In-Sample,0.0006847381591796875
50,In-Sample,0.0006809234619140625
50,In-Sample,0.0009198188781738281
50,In-Sample,0.0009448528289794922
50,In-Sample,0.0006871223449707031
50,In-Sample,0.000982046127319336
50,In-Sample,0.0006783008575439453
50,In-Sample,0.0007410049438476562
50,In-Sample,0.0009148120880126953
50,In-Sample,0.0006928443908691406
50,In-Sample,0.0006818771362304688
50,In-Sample,0.0010149478912353516
50,In-Sample,0.0006799697875976562
50,In-Sample,0.0006659030914306641
50,In-Sample,0.0007560253143310547
50,In-Sample,0.0006887912750244141
50,In-Sample,0.000682830810546875
50,In-Sample,0.00074005126953125
50,In-Sample,0.0006990432739257812
50,In-Sample,0.0006811618804931641
50,In-Sample,0.0006761550903320312
50,In-Sample,0.0007150173187255859
50,In-Sample,0.0006849765777587891
50,In-Sample,0.0007078647613525391
50,In-Sample,0.0007929801940917969
50,In-Sample,0.0007159709930419922
50,In-Sample,0.0006930828094482422
50,In-Sample,0.0006799697875976562
50,In-Sample,0.0007910728454589844
50,In-Sample,0.0006911754608154297
50,In-Sample,0.0006778240203857422
50,In-Sample,0.0007312297821044922
50,In-Sample,0.0006799697875976562
50,In-Sample,0.0006730556488037109
50,In-Sample,0.0010461807250976562
50,In-Sample,0.0006780624389648438
50,In-Sample,0.0008409023284912109
50,In-Sample,0.0008540153503417969
50,In-Sample,0.0007290840148925781
50,In-Sample,0.0007009506225585938
50,In-Sample,0.0007569789886474609
50,In-Sample,0.0007112026214599609
