Date,Sample,Field,NDF,Clouds,Species,Type,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1-May,S1,K2,34.9552,cloudy,cattle,Lab,0.168,1.99,7.64,6.798,2.28,5.475,6.04,2.11,1.39,1.594,0.6,0,7.428,2.642,1.468,1.494,2.122,2.582,21.8
1-May,S1,K2,34.9552,cloudy,cattle,Field,570.006,647.484,877.122,602.831,627.857,745.339,653.092,701.52,356.945,525.381,1133.298,735.342,749.411,671.498,2931.26,3155.453,3677.037,3685.239,37.1
1-May,S1,K3,43.545,cloudy,cattle,Field,803.893,877.844,1164.404,759.443,829.508,992.134,893.532,923.504,388.51,678.856,1946.628,1147.397,747.908,650.693,4571.541,5614.555,6592.979,6640.264,49.8
1-May,S1,K3,43.545,cloudy,cattle,Lab,0,0.99,5.73,4.72,1.14,0.73,0.55,0.53,0.69,0.44,0.6,0,1.017,1.02,0.82,0.83,0.82,1.08,19.4
1-May,S1,K4,60.1546,cloudy,cattle,Field,364.3827273,413.8445455,568.7190909,351.9163636,403.8409091,531.65,448.1181818,455.2272727,222.4954545,374.5381818,801.0545455,453.5954545,455.2045455,469.7809091,1959.12,2212.176364,2540.531818,2720.295455,40.72727273
1-May,S1,K4,60.1546,cloudy,cattle,Lab,0,0.99,7.64,7.55,2.28,2.409,2.74,1.59,1.39,0.89,0.6,0,4.5,1.626,0.82,0.83,0.82,1.08,21.7
1-May,S1,K5,54.70826446,cloudy,cattle,Field,340.2018182,373.3381818,454.3836364,326.7390909,337.4909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-May,S1,K5,54.70826446,cloudy,cattle,Lab,0.84,4.97,20.05,23.59,6.08,8.541,8.89,6.499,4.667,2.22,0.78,0,26.777,4.07,1.63,1.577,1.63,2.15,22.4
1-May,S1,K6,41.5438,cloudy,cattle,Field,739.437,750.909,1027.431,677.333,729.133,888.82,775.077,805.779,335.932,596.388,1751.527,938.788,594.413,599.648,3967.791,5109.403,6061.576,6256.911,48
1-May,S1,K6,41.5438,cloudy,cattle,Lab,0,0.99,4.77,4.72,0.76,0.73,0.055,0,0.46,0.044,0.6,0,0,1.02,0.738,0,0.41,1.08,21.7
1-May,S1,P1,44.7612,cloudy,horse,Field,914.458,961.933,1192.281,796.517,812.92,937.998,904.464,989.349,400.363,660.13,2049.604,1374.399,721.997,628.067,4895.498,5780.298,6852.34,6316.058,39.2
1-May,S1,P1,44.7612,cloudy,horse,Lab,0,0.99,4.77,3.77,1.52,1.46,1.1,0.53,0.69,0.44,0.6,0,1.13,1.02,0.82,1.328,1.63,1.722,20.9
1-May,S1,P2,50.76734694,cloudy,cattle,Lab,0.84,5.97,28.64,10.38,5.168,11.68,7.13,3.7,2.724,2.22,1.2,0.094,13.5,5.393,1.63,1.66,2.04,2.15,22.2
1-May,S1,P2,50.76734694,cloudy,cattle,Field,644.966,713.746,948.342,608.403,628.155,764.757,685.383,712.785,324.44,513.748,1291.155,851.797,633.513,569.41,3033.391,3482.09,4009.195,4087.764,38.2
1-May,S1,P3,47.3588,cloudy,horse,Lab,0,0.99,6.015,5.66,1.52,1.46,1.65,1.06,0.92,0.44,0.6,0,3.38,1.02,0.82,0.83,0.82,1.08,21.2
1-May,S1,P3,47.3588,cloudy,horse,Field,1003.427,1173.43,1586.804,986.401,1033.939,1224.12,1058.459,1171.214,586.782,873.543,2106.211,1441.216,1155.751,1074.693,5036.021,5649.202,6383.386,6591.109,40.5
1-May,S1,P4,46.5522,cloudy,cattle/sheep,Lab,0.84,3.08,13.37,12.27,4.56,7.3,7.68,4.23,3.24,1.77,0.66,0,16.88,3.05,1.63,1.66,2.45,2.15,22.5
1-May,S1,P4,46.5522,cloudy,cattle/sheep,Field,790.551,851.109,1067.161,705.735,718.397,827.558,752.262,835.02,358.696,570.01,1627.524,1080.958,651.558,545.711,3881.301,4416.542,5370.779,5349.255,34.2
1-May,S1,P5,46.7648,cloudy,none,Lab,0,0.99,5.73,4.72,1.52,1.46,1.485,0.53,0.552,0.44,0.6,0,1.466,1.121,0.82,0.996,1.144,1.294,22.1
1-May,S1,P5,46.7648,cloudy,none,Field,704.333,764.371,1023.727,664.679,698.653,829.515,750.579,806.166,327.492,550.29,1564.752,977.639,622.638,557.721,3534.592,4402.071,5264.863,5311.141,44.4
1-May,S1,P6,46.7684,cloudy,horse,Field,872.85,928.561,1222.935,733.784,739.045,855.012,613.067,769.507,327.852,539.132,1805.977,1177.803,674.458,624.421,4585.091,5967.242,6807.576,6914.617,42.1
