approach,r,iter
s1,0.7930176026930646,0
s2,0.44733619672880326,0
s3,0.3213293824550964,0
s4,0.26924974399672713,0
s1,0.7901421123021047,1
s2,-0.03154726188523761,1
s3,-0.16756846338793796,1
s4,-0.06097943912306124,1
s1,0.79672124175934,2
s2,0.1336376036408545,2
s3,-0.06219580403816599,2
s4,0.10501942257535354,2
s1,0.7775770123252567,3
s2,0.005513000292038585,3
s3,-0.1085813493688386,3
s4,-0.10089018581970455,3
s1,0.7787408626437761,4
s2,0.11093021212471643,4
s3,0.00432169713828754,4
s4,0.07652383091814181,4
s1,0.8364351483672305,5
s2,0.31593845150879696,5
s3,0.046355540196458114,5
s4,0.1840812706897022,5
s1,0.8276985662947014,6
s2,0.38471822440765446,6
s3,0.2676875662467585,6
s4,0.24692712774356532,6
s1,0.7976900271113851,7
s2,0.23576204396344713,7
s3,0.13429541410337015,7
s4,0.0625211711898493,7
s1,0.7894812555954691,8
s2,0.2950481678633551,8
s3,0.1975633018435849,8
s4,0.029368221972879294,8
s1,0.7318274453151842,9
s2,0.06830996562751923,9
s3,-0.05703393786196424,9
s4,-0.019895440148477606,9
s1,0.7143828862632123,10
s2,0.07847547293592183,10
s3,-0.0399420665706093,10
s4,-0.022548062683134907,10
s1,0.7846683607859543,11
s2,0.050923446173202234,11
s3,-0.1128719242675081,11
s4,-0.06996360867386323,11
s1,0.8350886073371961,12
s2,0.05260309685906395,12
s3,-0.07176172907774228,12
s4,-0.09292592593738105,12
s1,0.8044300339612758,13
s2,0.0701872601304602,13
s3,-0.04802429380994324,13
s4,-0.1389521763118496,13
s1,0.8334989231718876,14
s2,0.27273599743977883,14
s3,0.0952886723297505,14
s4,0.1757981519595902,14
s1,0.8449567753780964,15
s2,0.2965294897035964,15
s3,0.0836011524853578,15
s4,0.20098032795882004,15
s1,0.7662746468508563,16
s2,-0.02733681346803628,16
s3,-0.14914703689015926,16
s4,-0.06110593764442738,16
s1,0.7919836990529623,17
s2,0.16834599911589365,17
s3,0.035021586716804706,17
s4,0.0344439638664239,17
s1,0.8100518308687417,18
s2,0.11117370807412563,18
s3,0.01143302124098699,18
s4,0.05698629076262366,18
s1,0.802477611692814,19
s2,-0.002057696044856458,19
s3,-0.05390264667553597,19
s4,-0.11510077854168062,19
s1,0.7686041798739347,20
s2,0.06925880254731641,20
s3,-0.07450194638441068,20
s4,-0.06962584584578846,20
s1,0.8055649923274826,21
s2,0.2370004374244259,21
s3,0.19644780020058125,21
s4,0.11662034933216041,21
s1,0.8302332246814823,22
s2,0.2251382227580784,22
s3,0.18848616792430664,22
s4,-0.09940637851602044,22
s1,0.8487873667775248,23
s2,0.4839595807332332,23
s3,0.4358276781911873,23
s4,0.25229861065527276,23
s1,0.8414650412726449,24
s2,0.31334556948929204,24
s3,0.2603110224326454,24
s4,0.2857044954832115,24
s1,0.7821147155240474,25
s2,0.27030464754327216,25
s3,0.2099704143058454,25
s4,0.1094720125884318,25
s1,0.8269061248122022,26
s2,0.21879129614015547,26
s3,0.11259791273321526,26
s4,0.001562407119737297,26
s1,0.8337130061918625,27
s2,0.1846014222013032,27
s3,0.1585033995057072,27
s4,0.06675324067449781,27
s1,0.7623632736937911,28
s2,-0.041999521308050417,28
s3,-0.2453553147388198,28
s4,-0.30047782952940383,28
s1,0.8016923948875447,29
s2,0.1488945910925487,29
s3,0.041889851018133084,29
s4,-0.012616000428189934,29
s1,0.7960731785403139,30
s2,0.12325310303536134,30
s3,0.015067886081556802,30
s4,-0.10479123227610446,30
s1,0.7974866544297169,31
s2,0.15070221455584623,31
s3,0.1230529326064675,31
s4,0.1172882840945118,31
s1,0.8239150552178607,32
s2,0.24159404052481967,32
s3,0.1896646768286286,32
s4,0.10861200016049984,32
s1,0.8041319570962795,33
s2,0.1795388931405381,33
s3,0.06549749453212331,33
s4,-0.013794924410079262,33
s1,0.7023469397426128,34
s2,0.2321308712415345,34
s3,0.16627954898723374,34
s4,0.0479690164954604,34
s1,0.7982112998404973,35
s2,0.027596332289139474,35
s3,-0.07235492362851095,35
s4,-0.13775157065364238,35
s1,0.8355431168967179,36
s2,0.06307012753504322,36
s3,0.007315893258897982,36
s4,0.038468878058981984,36
s1,0.834352316839887,37
s2,0.10349193119742343,37
s3,-0.025534828145936245,37
s4,-0.05054710641669714,37
s1,0.7607536331491191,38
s2,0.08079450058186606,38
s3,0.034461114450393605,38
s4,-0.04922023139770994,38
s1,0.7889710046347576,39
s2,0.2012770498661136,39
s3,0.09341782445057893,39
s4,0.12816380027711582,39
s1,0.737724101292549,40
s2,-0.04843453598390248,40
s3,-0.18171843351384442,40
s4,-0.08336290432431523,40
s1,0.8559230659146607,41
s2,0.1551735113263732,41
s3,0.06704300335324236,41
s4,0.07082831153504719,41
s1,0.8324888178166496,42
s2,0.1850368023811429,42
s3,-0.023704767288382365,42
s4,-0.08370441128800492,42
s1,0.7782359516019179,43
s2,0.0823839682495787,43
s3,-0.014661509704331402,43
s4,-0.06873422850179592,43
s1,0.7838045344614487,44
s2,0.17900837125038044,44
s3,0.03915403118443367,44
s4,-0.023905652728862213,44
s1,0.7871933387009561,45
s2,0.15156873249637706,45
s3,0.0298939657820385,45
s4,0.03175810356950963,45
