N,Method,Metric,Bias,Variance,Time
50,In-Sample,Correlation,0.45565411935030586,0,0.0016498565673828125
50,In-Sample,R2,0.3980639929101847,0,0.0016498565673828125
50,In-Sample,RMSE,-0.23289543158427184,0,0.0016498565673828125
50,In-Sample,Correlation,0.5586603733794642,0,0.0006780624389648438
50,In-Sample,R2,0.8291636447285848,0,0.0006780624389648438
50,In-Sample,RMSE,-0.4020904636671896,0,0.0006780624389648438
50,In-Sample,Correlation,0.4552103491461165,0,0.0006890296936035156
50,In-Sample,R2,0.4609547232759986,0,0.0006890296936035156
50,In-Sample,RMSE,-0.236689816605133,0,0.0006890296936035156
50,In-Sample,Correlation,0.46920250084161413,0,0.0007805824279785156
50,In-Sample,R2,0.5331252921877131,0,0.0007805824279785156
50,In-Sample,RMSE,-0.3620606377953691,0,0.0007805824279785156
50,In-Sample,Correlation,0.4310886079682102,0,0.0006680488586425781
50,In-Sample,R2,0.4482145985360252,0,0.0006680488586425781
50,In-Sample,RMSE,-0.2779998563434689,0,0.0006680488586425781
50,In-Sample,Correlation,0.3495852954910894,0,0.0007238388061523438
50,In-Sample,R2,0.26001118051006056,0,0.0007238388061523438
50,In-Sample,RMSE,-0.15167579802389042,0,0.0007238388061523438
50,In-Sample,Correlation,0.4678939127621783,0,0.0006601810455322266
50,In-Sample,R2,0.550238962276846,0,0.0006601810455322266
50,In-Sample,RMSE,-0.30178846661129954,0,0.0006601810455322266
50,In-Sample,Correlation,0.5655349975182452,0,0.0008111000061035156
50,In-Sample,R2,0.7479570583462462,0,0.0008111000061035156
50,In-Sample,RMSE,-0.28806142380846445,0,0.0008111000061035156
50,In-Sample,Correlation,0.5982664092977932,0,0.0006997585296630859
50,In-Sample,R2,0.894759778492471,0,0.0006997585296630859
50,In-Sample,RMSE,-0.4680553429706058,0,0.0006997585296630859
50,In-Sample,Correlation,0.4732066964742033,0,0.0006542205810546875
50,In-Sample,R2,0.6139403556789232,0,0.0006542205810546875
50,In-Sample,RMSE,-0.31062751335898653,0,0.0006542205810546875
50,In-Sample,Correlation,0.5892181077135645,0,0.0007741451263427734
50,In-Sample,R2,0.8745520955656775,0,0.0007741451263427734
50,In-Sample,RMSE,-0.3698651186141336,0,0.0007741451263427734
50,In-Sample,Correlation,0.45630764037388266,0,0.000843048095703125
50,In-Sample,R2,0.3643076176065777,0,0.000843048095703125
50,In-Sample,RMSE,-0.29593181960624737,0,0.000843048095703125
50,In-Sample,Correlation,0.32349145591248946,0,0.0007901191711425781
50,In-Sample,R2,0.26373056735422273,0,0.0007901191711425781
50,In-Sample,RMSE,-0.11524022251720423,0,0.0007901191711425781
50,In-Sample,Correlation,0.3801340214912938,0,0.0007710456848144531
50,In-Sample,R2,0.28109469809629617,0,0.0007710456848144531
50,In-Sample,RMSE,-0.25924379764550076,0,0.0007710456848144531
50,In-Sample,Correlation,0.5341558896537569,0,0.0008478164672851562
50,In-Sample,R2,0.8176042680015314,0,0.0008478164672851562
50,In-Sample,RMSE,-0.23630997517889274,0,0.0008478164672851562
50,In-Sample,Correlation,0.48605203109725165,0,0.0007367134094238281
50,In-Sample,R2,0.5414459730005448,0,0.0007367134094238281
50,In-Sample,RMSE,-0.24211327694778428,0,0.0007367134094238281
50,In-Sample,Correlation,0.410637665793514,0,0.0008132457733154297
50,In-Sample,R2,0.3266804446450309,0,0.0008132457733154297
50,In-Sample,RMSE,-0.2794607777593049,0,0.0008132457733154297
50,In-Sample,Correlation,0.4882000722268812,0,0.0006740093231201172
50,In-Sample,R2,0.6878389994245903,0,0.0006740093231201172
50,In-Sample,RMSE,-0.2541011162704203,0,0.0006740093231201172
50,In-Sample,Correlation,0.47587719108918547,0,0.0006620883941650391
50,In-Sample,R2,0.5348720803581742,0,0.0006620883941650391
50,In-Sample,RMSE,-0.23205848191166267,0,0.0006620883941650391
50,In-Sample,Correlation,0.5235629737710823,0,0.0007798671722412109
50,In-Sample,R2,0.6586305480265606,0,0.0007798671722412109
50,In-Sample,RMSE,-0.32649570448514076,0,0.0007798671722412109
50,In-Sample,Correlation,0.40963148160966983,0,0.0007948875427246094
50,In-Sample,R2,0.6513204394579741,0,0.0007948875427246094
50,In-Sample,RMSE,-0.3414444863572679,0,0.0007948875427246094
50,In-Sample,Correlation,0.36036815936111827,0,0.0008020401000976562
50,In-Sample,R2,0.23874379628986397,0,0.0008020401000976562
50,In-Sample,RMSE,-0.25741260934984855,0,0.0008020401000976562
50,In-Sample,Correlation,0.39046212109319733,0,0.0007102489471435547
50,In-Sample,R2,0.42605313241222936,0,0.0007102489471435547
50,In-Sample,RMSE,-0.14128976561004547,0,0.0007102489471435547
50,In-Sample,Correlation,0.3544977355022144,0,0.0006682872772216797
50,In-Sample,R2,0.40014652427598235,0,0.0006682872772216797
50,In-Sample,RMSE,-0.1131950410685163,0,0.0006682872772216797
50,In-Sample,Correlation,0.42391626596148874,0,0.0007371902465820312
