dataset,metric,estimator,n,bias (mean),bias (std),variance (mean),variance (std)
simple,MAE,10-Fold CV,50,0.022232319,0.126669573,0.100197052,0.05249536
simple,MAE,10-Fold CV,250,0.001523133,0.038382164,0.015221515,0.007498544
simple,MAE,10-Fold CV,500,0.001681745,0.028261074,0.007594064,0.003655854
simple,MAE,2-Fold CV,50,0.180372973,0.189558074,0.029823218,0.052787174
simple,MAE,2-Fold CV,250,0.017441712,0.046796837,0.002634347,0.003492911
simple,MAE,2-Fold CV,500,0.009829381,0.030378031,0.001495088,0.001923926
simple,MAE,5-Fold CV,50,0.048762661,0.133664531,0.052054288,0.038641738
simple,MAE,5-Fold CV,250,0.003866841,0.039276792,0.007778105,0.00535282
simple,MAE,5-Fold CV,500,0.003073915,0.028497634,0.003524437,0.002524626
simple,MAE,In-Sample,50,-0.194807014,0.09563656,,
simple,MAE,In-Sample,250,-0.036731008,0.036718433,,
simple,MAE,In-Sample,500,-0.017049859,0.027582577,,
simple,MAE,LOOCV,50,0.010732993,0.118549249,0.476647932,0.131457691
simple,MAE,LOOCV,250,-0.00073979,0.038298925,0.378829768,0.041464195
simple,MAE,LOOCV,500,0.0007784,0.028155878,0.371254824,0.028706338
simple,R2,10-Fold CV,50,-0.939886428,0.857498136,7.163892396,37.48645867
simple,R2,10-Fold CV,250,-0.046240727,0.052480958,0.017758058,0.018960652
simple,R2,10-Fold CV,500,-0.013727132,0.023957275,0.003356216,0.002283033
simple,R2,2-Fold CV,50,-0.694086477,0.641579905,0.859479287,2.875870314
simple,R2,2-Fold CV,250,-0.044410113,0.070682451,0.003194503,0.005626488
simple,R2,2-Fold CV,500,-0.016872961,0.034202241,0.000510821,0.000906775
simple,R2,5-Fold CV,50,-0.400568496,0.409378174,0.743273759,1.39142664
simple,R2,5-Fold CV,250,-0.024326347,0.049443116,0.007725024,0.008767416
simple,R2,5-Fold CV,500,-0.006706827,0.025593006,0.001644938,0.00156712
simple,R2,In-Sample,50,0.514600683,0.20667225,,
simple,R2,In-Sample,250,0.09928377,0.037184054,,
simple,R2,In-Sample,500,0.053231986,0.019520263,,
simple,R2,LOOCV,50,-0.012763287,0.255529184,,
simple,R2,LOOCV,250,0.008711252,0.038829165,,
simple,R2,LOOCV,500,0.008452584,0.019947182,,
simple,RMSE,10-Fold CV,50,-0.024330595,0.149060097,0.130498431,0.066534151
simple,RMSE,10-Fold CV,250,-0.005731688,0.046083995,0.020865248,0.009972962
simple,RMSE,10-Fold CV,500,-0.000913888,0.032826104,0.010496318,0.004855425
simple,RMSE,2-Fold CV,50,0.214765116,0.226200567,0.04083109,0.068215509
simple,RMSE,2-Fold CV,250,0.022337396,0.056105636,0.003517734,0.004829124
simple,RMSE,2-Fold CV,500,0.013393659,0.035873413,0.001969617,0.002649856
simple,RMSE,5-Fold CV,50,0.035105524,0.158104849,0.070134888,0.050341866
simple,RMSE,5-Fold CV,250,0.002302793,0.047042075,0.010374028,0.007574595
simple,RMSE,5-Fold CV,500,0.003643329,0.033164879,0.004816452,0.003523699
simple,RMSE,In-Sample,50,-0.244351086,0.115607496,,
simple,RMSE,In-Sample,250,-0.044304428,0.044270077,,
simple,RMSE,In-Sample,500,-0.019679712,0.03205577,,
simple,RMSE,LOOCV,50,0.012118045,0.143732862,0.476647932,0.131457691
simple,RMSE,LOOCV,250,0.000763368,0.046159161,0.378829768,0.041464195
simple,RMSE,LOOCV,500,0.002670772,0.032734835,0.371254824,0.028706338
simple,r,10-Fold CV,50,-0.010997574,0.25421667,0.362077426,0.130939461
simple,r,10-Fold CV,250,0.003426111,0.09431355,0.039623319,0.018632561
simple,r,10-Fold CV,500,-0.000366399,0.065404959,0.018573947,0.008551873
simple,r,2-Fold CV,50,0.00425656,0.184318265,0.018999824,0.030208729
simple,r,2-Fold CV,250,0.00878834,0.08233946,0.000869553,0.001315727
simple,r,2-Fold CV,500,-0.001179284,0.061363622,0.000294437,0.000572246
simple,r,5-Fold CV,50,-0.012489106,0.20896828,0.116797936,0.080973387
simple,r,5-Fold CV,250,0.006007689,0.087585176,0.015626542,0.010541297
simple,r,5-Fold CV,500,-0.001402512,0.066647896,0.007643691,0.005494939
simple,r,In-Sample,50,0.44912153,0.08832373,,
simple,r,In-Sample,250,0.198021818,0.04300064,,
simple,r,In-Sample,500,0.137497111,0.033032143,,
simple,r,LOOCV,50,-0.069814407,0.203014878,,
simple,r,LOOCV,250,-0.035298718,0.097746007,,
simple,r,LOOCV,500,-0.030522626,0.071320513,,
spectral,MAE,10-Fold CV,50,-0.398897486,0.882306883,0.265356539,0.144326906
spectral,MAE,10-Fold CV,250,-0.147537905,0.300109288,0.043646311,0.02062266
spectral,MAE,10-Fold CV,500,-0.095922122,0.192953314,0.021379084,0.011227164
spectral,MAE,2-Fold CV,50,-0.153024505,0.918408593,0.074073734,0.130789496
spectral,MAE,2-Fold CV,250,-0.118597004,0.300573132,0.007319586,0.010092109
spectral,MAE,2-Fold CV,500,-0.081441167,0.193698101,0.004119956,0.005878196
spectral,MAE,5-Fold CV,50,-0.356778641,0.879461454,0.146835709,0.113440826
spectral,MAE,5-Fold CV,250,-0.143029297,0.300331944,0.022050086,0.015722617
spectral,MAE,5-Fold CV,500,-0.093810876,0.19304868,0.011119487,0.008611582
spectral,MAE,In-Sample,50,-0.764778431,0.869039077,,
spectral,MAE,In-Sample,250,-0.213646488,0.297802373,,
spectral,MAE,In-Sample,500,-0.128184633,0.191819671,,
spectral,MAE,LOOCV,50,-0.418625658,0.880001145,1.318890573,0.391472808
spectral,MAE,LOOCV,250,-0.151404068,0.299774137,1.109724676,0.158883512
spectral,MAE,LOOCV,500,-0.097473884,0.192696615,1.07822586,0.109916822
spectral,R2,10-Fold CV,50,0.235860119,3.800250886,7.999884372,27.993854
spectral,R2,10-Fold CV,250,0.202783817,0.489881637,0.037345013,0.026897185
spectral,R2,10-Fold CV,500,0.128170465,0.245471602,0.012654775,0.007622714
spectral,R2,2-Fold CV,50,0.605800317,3.779405887,0.52490627,1.085311133
spectral,R2,2-Fold CV,250,0.211147303,0.491511369,0.006237027,0.010984442
spectral,R2,2-Fold CV,500,0.129109023,0.246608744,0.002262079,0.003050234
spectral,R2,5-Fold CV,50,0.787557586,3.719502842,0.806751821,1.819541531
spectral,R2,5-Fold CV,250,0.226829058,0.488423792,0.016359707,0.014743572
spectral,R2,5-Fold CV,500,0.137979501,0.245213291,0.006126597,0.004932787
spectral,R2,In-Sample,50,1.612795698,3.719372985,,
spectral,R2,In-Sample,250,0.337965431,0.488886193,,
spectral,R2,In-Sample,500,0.191291377,0.245659787,,
spectral,R2,LOOCV,50,1.156861205,3.722284322,,
spectral,R2,LOOCV,250,0.25976583,0.488495709,,
spectral,R2,LOOCV,500,0.152621638,0.245298145,,
spectral,RMSE,10-Fold CV,50,-0.59353751,1.133395454,0.345243307,0.181147182
spectral,RMSE,10-Fold CV,250,-0.189666612,0.359484893,0.05856441,0.027623243
spectral,RMSE,10-Fold CV,500,-0.120710596,0.231748723,0.028614816,0.014477867
spectral,RMSE,2-Fold CV,50,-0.212940253,1.178733405,0.104014411,0.194714271
spectral,RMSE,2-Fold CV,250,-0.140235926,0.362859657,0.009350122,0.012850301
spectral,RMSE,2-Fold CV,500,-0.096000361,0.232943058,0.005460538,0.007910074
spectral,RMSE,5-Fold CV,50,-0.49777432,1.130082011,0.199165177,0.151982405
spectral,RMSE,5-Fold CV,250,-0.175897829,0.35975322,0.030363727,0.022794335
spectral,RMSE,5-Fold CV,500,-0.114016968,0.231950021,0.014630384,0.010878157
spectral,RMSE,In-Sample,50,-0.970090739,1.120511498,,
spectral,RMSE,In-Sample,250,-0.25777642,0.357105231,,
spectral,RMSE,In-Sample,500,-0.154245863,0.230536907,,
spectral,RMSE,LOOCV,50,-0.536052616,1.131826334,1.318890573,0.391472808
spectral,RMSE,LOOCV,250,-0.179129071,0.359669278,1.109724676,0.158883512
spectral,RMSE,LOOCV,500,-0.115457877,0.231572532,1.07822586,0.109916822
spectral,r,10-Fold CV,50,0.072890991,0.263904443,0.343288927,0.145111224
spectral,r,10-Fold CV,250,0.083374148,0.125596214,0.034640802,0.018048385
spectral,r,10-Fold CV,500,0.062128133,0.102040694,0.015868271,0.008185559
spectral,r,2-Fold CV,50,-0.018970778,0.238943859,0.018891909,0.029830742
spectral,r,2-Fold CV,250,0.048233755,0.132216318,0.002600272,0.003779587
spectral,r,2-Fold CV,500,0.040873065,0.105008055,0.00198526,0.002859144
spectral,r,5-Fold CV,50,0.041758934,0.246779166,0.105694933,0.074099828
spectral,r,5-Fold CV,250,0.073256152,0.126641037,0.015315054,0.011600841
spectral,r,5-Fold CV,500,0.056388003,0.102046469,0.007618612,0.005453301
spectral,r,In-Sample,50,0.379052361,0.152190119,,
