metric,mean,method,i,dataset
CCC,0.3171856340375184,FS0_HT0,0,simulated
MAE,0.7349319007147508,FS0_HT0,0,simulated
R2,0.05283520719619879,FS0_HT0,0,simulated
RMSE,0.8818298949852854,FS0_HT0,0,simulated
RMSPE,234.11870368216728,FS0_HT0,0,simulated
RSR,0.9601206826834364,FS0_HT0,0,simulated
r,0.4060522973464309,FS0_HT0,0,simulated
r2,0.2325934319790977,FS0_HT0,0,simulated
CCC,0.38150326353436825,FS0_HT1,0,simulated
MAE,0.6739865305178135,FS0_HT1,0,simulated
R2,0.15481859961847283,FS0_HT1,0,simulated
RMSE,0.826738047484217,FS0_HT1,0,simulated
RMSPE,51.80769642689994,FS0_HT1,0,simulated
RSR,0.9132732371763181,FS0_HT1,0,simulated
r,0.5343670583392222,FS0_HT1,0,simulated
r2,0.30616285770013285,FS0_HT1,0,simulated
CCC,0.025718230359098693,FS1_HT0,0,simulated
MAE,0.8306153727559471,FS1_HT0,0,simulated
R2,-0.33342494563166614,FS1_HT0,0,simulated
RMSE,1.0499350894167692,FS1_HT0,0,simulated
RMSPE,102.44912531614223,FS1_HT0,0,simulated
RSR,1.1484729517208763,FS1_HT0,0,simulated
r,0.006015203819248896,FS1_HT0,0,simulated
r2,0.08274070490119097,FS1_HT0,0,simulated
CCC,-0.026122370236092728,FS1_HT1,0,simulated
MAE,0.821000733031832,FS1_HT1,0,simulated
R2,-0.2806662432952643,FS1_HT1,0,simulated
RMSE,1.0238850664595325,FS1_HT1,0,simulated
RMSPE,68.31047232610248,FS1_HT1,0,simulated
RSR,1.125478744527636,FS1_HT1,0,simulated
r,-0.09449594851815224,FS1_HT1,0,simulated
r2,0.15061607278268452,FS1_HT1,0,simulated
CCC,0.2564712945696444,FS0_HT0,0,spectral
MAE,4.94255607680596,FS0_HT0,0,spectral
R2,0.0039334806762767235,FS0_HT0,0,spectral
RMSE,6.2438142010606414,FS0_HT0,0,spectral
RMSPE,0.12454885689775563,FS0_HT0,0,spectral
RSR,0.9950692360137701,FS0_HT0,0,spectral
r,0.30612669403044607,FS0_HT0,0,spectral
r2,0.10272386674361234,FS0_HT0,0,spectral
CCC,0.2663655160050336,FS0_HT1,0,spectral
MAE,4.870900229231782,FS0_HT1,0,spectral
R2,0.04618405360156199,FS0_HT1,0,spectral
RMSE,6.1254417981422105,FS0_HT1,0,spectral
RMSPE,0.1231383900622379,FS0_HT1,0,spectral
RSR,0.9755660515347641,FS0_HT1,0,spectral
r,0.31915133159933656,FS0_HT1,0,spectral
r2,0.10903590894410038,FS0_HT1,0,spectral
CCC,0.24475645674027796,FS1_HT0,0,spectral
MAE,4.951631880720036,FS1_HT0,0,spectral
R2,0.015384531305480653,FS1_HT0,0,spectral
RMSE,6.233963394825857,FS1_HT0,0,spectral
RMSPE,0.12474189351113378,FS1_HT0,0,spectral
RSR,0.9909947221016904,FS1_HT0,0,spectral
r,0.29312633768468876,FS1_HT0,0,spectral
r2,0.09224793865314773,FS1_HT0,0,spectral
CCC,0.2185557860872655,FS1_HT1,0,spectral
MAE,5.069537268961623,FS1_HT1,0,spectral
R2,-0.05855580757809979,FS1_HT1,0,spectral
RMSE,6.435034925382276,FS1_HT1,0,spectral
RMSPE,0.12870018690626572,FS1_HT1,0,spectral
RSR,1.0255580721426631,FS1_HT1,0,spectral
r,0.2563221122318944,FS1_HT1,0,spectral
r2,0.07819045858660541,FS1_HT1,0,spectral
CCC,0.32363335107567226,FS0_HT0,1,simulated
MAE,0.7259212305820564,FS0_HT0,1,simulated
R2,0.09379538006453807,FS0_HT0,1,simulated
RMSE,0.8931906603556332,FS0_HT0,1,simulated
RMSPE,5.066783490986552,FS0_HT0,1,simulated
RSR,0.939265790214805,FS0_HT0,1,simulated
r,0.48053899485810414,FS0_HT0,1,simulated
r2,0.29942238943372135,FS0_HT0,1,simulated
CCC,0.33487902767905886,FS0_HT1,1,simulated
MAE,0.6805738331501722,FS0_HT1,1,simulated
R2,0.13436728282378593,FS0_HT1,1,simulated
RMSE,0.8775847620596167,FS0_HT1,1,simulated
RMSPE,4.14925043034583,FS0_HT1,1,simulated
RSR,0.9211847475472489,FS0_HT1,1,simulated
r,0.49514245691010783,FS0_HT1,1,simulated
r2,0.29767544345326064,FS0_HT1,1,simulated
CCC,0.011320956456155249,FS1_HT0,1,simulated
MAE,0.8440989932636149,FS1_HT0,1,simulated
R2,-0.24881186577645545,FS1_HT0,1,simulated
RMSE,1.0757674866932665,FS1_HT0,1,simulated
RMSPE,2.8009273700992425,FS1_HT0,1,simulated
RSR,1.1146600252327172,FS1_HT0,1,simulated
r,0.05439151202211615,FS1_HT0,1,simulated
r2,0.02646263424624678,FS1_HT0,1,simulated
CCC,0.04014318252797634,FS1_HT1,1,simulated
MAE,0.8059524022128365,FS1_HT1,1,simulated
R2,-0.16846324968334106,FS1_HT1,1,simulated
RMSE,1.0444259642530185,FS1_HT1,1,simulated
RMSPE,2.9381661452820866,FS1_HT1,1,simulated
RSR,1.0796317559804343,FS1_HT1,1,simulated
r,0.09211827020641611,FS1_HT1,1,simulated
r2,0.01879355053968716,FS1_HT1,1,simulated
CCC,0.29185678569639606,FS0_HT0,1,spectral
MAE,4.782223668747763,FS0_HT0,1,spectral
R2,0.037633715031009075,FS0_HT0,1,spectral
RMSE,6.111336898254498,FS0_HT0,1,spectral
RMSPE,0.12188903671617342,FS0_HT0,1,spectral
RSR,0.9764963307586128,FS0_HT0,1,spectral
r,0.3572090008967751,FS0_HT0,1,spectral
r2,0.13936847238553668,FS0_HT0,1,spectral
CCC,0.2745130099880278,FS0_HT1,1,spectral
MAE,4.710073416340315,FS0_HT1,1,spectral
R2,0.07839226231333518,FS0_HT1,1,spectral
RMSE,6.009609299223142,FS0_HT1,1,spectral
RMSPE,0.1213832477727558,FS0_HT1,1,spectral
RSR,0.9590383475051887,FS0_HT1,1,spectral
r,0.3474819826754497,FS0_HT1,1,spectral
r2,0.12483474484927501,FS0_HT1,1,spectral
CCC,0.2723099473149092,FS1_HT0,1,spectral
MAE,4.669296760763997,FS1_HT0,1,spectral
R2,0.09268641805391147,FS1_HT0,1,spectral
RMSE,5.964005546073186,FS1_HT0,1,spectral
RMSPE,0.12068584359220395,FS1_HT0,1,spectral
RSR,0.951706895611599,FS1_HT0,1,spectral
r,0.3490992042865756,FS1_HT0,1,spectral
r2,0.12796816427892355,FS1_HT0,1,spectral
CCC,0.2689277650348885,FS1_HT1,1,spectral
MAE,4.72355176615598,FS1_HT1,1,spectral
R2,0.07972333474040436,FS1_HT1,1,spectral
RMSE,6.005254167995647,FS1_HT1,1,spectral
RMSPE,0.12148293119351401,FS1_HT1,1,spectral
RSR,0.958356378263734,FS1_HT1,1,spectral
r,0.3385911115294995,FS1_HT1,1,spectral
r2,0.12088645835619964,FS1_HT1,1,spectral
CCC,0.21214518911220984,FS0_HT0,2,simulated
MAE,0.8652638324617323,FS0_HT0,2,simulated
R2,-0.10507751436090543,FS0_HT0,2,simulated
RMSE,1.0721401505228498,FS0_HT0,2,simulated
RMSPE,7.73054296932847,FS0_HT0,2,simulated
RSR,1.0457617170745268,FS0_HT0,2,simulated
r,0.3131529655969243,FS0_HT0,2,simulated
r2,0.12695774969406426,FS0_HT0,2,simulated
CCC,0.22678392963006896,FS0_HT1,2,simulated
MAE,0.8709643286425385,FS0_HT1,2,simulated
R2,-0.11164913468423258,FS0_HT1,2,simulated
RMSE,1.0679734465623616,FS0_HT1,2,simulated
RMSPE,6.635436153916149,FS0_HT1,2,simulated
RSR,1.0455039400824253,FS0_HT1,2,simulated
r,0.2926777203089843,FS0_HT1,2,simulated
r2,0.14871691523702818,FS0_HT1,2,simulated
CCC,-0.10436172995248627,FS1_HT0,2,simulated
MAE,1.0497645430895386,FS1_HT0,2,simulated
R2,-0.6114356022514441,FS1_HT0,2,simulated
RMSE,1.2884443300385588,FS1_HT0,2,simulated
RMSPE,6.239476847523183,FS1_HT0,2,simulated
RSR,1.2544564682243893,FS1_HT0,2,simulated
r,-0.11714387581765791,FS1_HT0,2,simulated
r2,0.05957530743480888,FS1_HT0,2,simulated
CCC,-0.05740751712146941,FS1_HT1,2,simulated
MAE,0.9968115826122137,FS1_HT1,2,simulated
R2,-0.37519539010430697,FS1_HT1,2,simulated
RMSE,1.2074273149166381,FS1_HT1,2,simulated
RMSPE,4.454243886905996,FS1_HT1,2,simulated
RSR,1.1678397274707621,FS1_HT1,2,simulated
r,-0.0968656979709694,FS1_HT1,2,simulated
r2,0.07111195763490434,FS1_HT1,2,simulated
CCC,0.29343400076183573,FS0_HT0,2,spectral
MAE,4.669370340048358,FS0_HT0,2,spectral
