metric,mean,method,i,dataset
CCC,0.34543365083201494,FS0_HT0,0,simulated
MAE,0.724657053569477,FS0_HT0,0,simulated
R2,0.05796420498021073,FS0_HT0,0,simulated
RMSE,0.8719634913975494,FS0_HT0,0,simulated
RMSPE,19.200429787935857,FS0_HT0,0,simulated
RSR,0.962340974675594,FS0_HT0,0,simulated
r,0.457584371618503,FS0_HT0,0,simulated
r2,0.23386017871830403,FS0_HT0,0,simulated
CCC,0.36753537346731313,FS0_HT1,0,simulated
MAE,0.718499825686951,FS0_HT1,0,simulated
R2,-9.708726090060794e-05,FS0_HT1,0,simulated
RMSE,0.8845122042020526,FS0_HT1,0,simulated
RMSPE,138.2952958675075,FS0_HT1,0,simulated
RSR,0.9843154165327814,FS0_HT1,0,simulated
r,0.5019949106541427,FS0_HT1,0,simulated
r2,0.2698990895099492,FS0_HT1,0,simulated
CCC,-0.08036718422877168,FS1_HT0,0,simulated
MAE,0.9910316085848802,FS1_HT0,0,simulated
R2,-0.8694818196676579,FS1_HT0,0,simulated
RMSE,1.2367152253779703,FS1_HT0,0,simulated
RMSPE,47.1190575500721,FS1_HT0,0,simulated
RSR,1.362000793656323,FS1_HT0,0,simulated
r,-0.10759529930786527,FS1_HT0,0,simulated
r2,0.04143809030128477,FS1_HT0,0,simulated
CCC,0.028620513504433242,FS1_HT1,0,simulated
MAE,0.8085541923909376,FS1_HT1,0,simulated
R2,-0.2533977199923912,FS1_HT1,0,simulated
RMSE,1.0129114279879745,FS1_HT1,0,simulated
RMSPE,46.91692505130659,FS1_HT1,0,simulated
RSR,1.1106812117898026,FS1_HT1,0,simulated
r,-0.032583882790280516,FS1_HT1,0,simulated
r2,0.14300945064123965,FS1_HT1,0,simulated
CCC,0.2872582928534958,FS0_HT0,0,spectral
MAE,4.698325596145519,FS0_HT0,0,spectral
R2,0.09208617548612812,FS0_HT0,0,spectral
RMSE,5.983978838471956,FS0_HT0,0,spectral
RMSPE,0.12047881761686996,FS0_HT0,0,spectral
RSR,0.9523079637666753,FS0_HT0,0,spectral
r,0.3511027766130763,FS0_HT0,0,spectral
r2,0.1271216958887932,FS0_HT0,0,spectral
CCC,0.2857012429771101,FS0_HT1,0,spectral
MAE,4.711918677575413,FS0_HT1,0,spectral
R2,0.09287451163081598,FS0_HT1,0,spectral
RMSE,5.974556886138856,FS0_HT1,0,spectral
RMSPE,0.12025448501098909,FS0_HT1,0,spectral
RSR,0.9521443860383609,FS0_HT1,0,spectral
r,0.3526442508674955,FS0_HT1,0,spectral
r2,0.12651590250098335,FS0_HT1,0,spectral
CCC,0.25455368152964003,FS1_HT0,0,spectral
MAE,4.799709566340525,FS1_HT0,0,spectral
R2,0.04831219151804387,FS1_HT0,0,spectral
RMSE,6.119261800450333,FS1_HT0,0,spectral
RMSPE,0.12345613448451886,FS1_HT0,0,spectral
RSR,0.974716463922406,FS1_HT0,0,spectral
r,0.3118784259746302,FS1_HT0,0,spectral
r2,0.1030527343488831,FS1_HT0,0,spectral
CCC,0.24415449637203207,FS1_HT1,0,spectral
MAE,4.797233006171396,FS1_HT1,0,spectral
R2,0.042022895222439516,FS1_HT1,0,spectral
RMSE,6.140294891742003,FS1_HT1,0,spectral
RMSPE,0.12389075169842745,FS1_HT1,0,spectral
RSR,0.977596647819146,FS1_HT1,0,spectral
r,0.30192398170775203,FS1_HT1,0,spectral
r2,0.10027176317518616,FS1_HT1,0,spectral
CCC,0.2553748302051396,FS0_HT0,1,simulated
MAE,0.7085537259783682,FS0_HT0,1,simulated
R2,-0.010324692745542685,FS0_HT0,1,simulated
RMSE,0.8690442300111514,FS0_HT0,1,simulated
RMSPE,7.6077123960286075,FS0_HT0,1,simulated
RSR,0.9923885658196958,FS0_HT0,1,simulated
r,0.35562299929690644,FS0_HT0,1,simulated
r2,0.18285143036923995,FS0_HT0,1,simulated
CCC,0.17979856390172105,FS0_HT1,1,simulated
MAE,0.7948876039457866,FS0_HT1,1,simulated
R2,-0.2902673430784099,FS0_HT1,1,simulated
RMSE,0.9831980974983624,FS0_HT1,1,simulated
RMSPE,6.072804575345026,FS0_HT1,1,simulated
RSR,1.1246934693572475,FS0_HT1,1,simulated
r,0.25561005476821297,FS0_HT1,1,simulated
r2,0.08870994094789925,FS0_HT1,1,simulated
CCC,-0.1377524144763501,FS1_HT0,1,simulated
MAE,0.9211597580147934,FS1_HT0,1,simulated
R2,-0.7744384568707968,FS1_HT0,1,simulated
RMSE,1.145735657329888,FS1_HT0,1,simulated
RMSPE,7.037098865874779,FS1_HT0,1,simulated
RSR,1.3172839371618972,FS1_HT0,1,simulated
r,-0.15954262503745217,FS1_HT0,1,simulated
r2,0.05158172832772525,FS1_HT0,1,simulated
CCC,-0.0759213420590113,FS1_HT1,1,simulated
MAE,0.8410222294499968,FS1_HT1,1,simulated
R2,-0.4216867526973031,FS1_HT1,1,simulated
RMSE,1.0410576244410226,FS1_HT1,1,simulated
RMSPE,6.514281439629118,FS1_HT1,1,simulated
RSR,1.187978165934519,FS1_HT1,1,simulated
