metric,mean,method,i,dataset
CCC,0.44361091149423465,FS0_HT0,0,simulated
MAE,0.6411183327446278,FS0_HT0,0,simulated
R2,0.22242837329342335,FS0_HT0,0,simulated
RMSE,0.7964719886914837,FS0_HT0,0,simulated
RMSPE,70.44625453474698,FS0_HT0,0,simulated
RSR,0.8798925641725184,FS0_HT0,0,simulated
r,0.6254348186265493,FS0_HT0,0,simulated
r2,0.40332554467963916,FS0_HT0,0,simulated
CCC,0.40004318213796075,FS0_HT1,0,simulated
MAE,0.6340997918305307,FS0_HT1,0,simulated
R2,0.25630453279173426,FS0_HT1,0,simulated
RMSE,0.7838064900928123,FS0_HT1,0,simulated
RMSPE,39.98269816324004,FS0_HT1,0,simulated
RSR,0.8618954805748101,FS0_HT1,0,simulated
r,0.5976038963791488,FS0_HT1,0,simulated
r2,0.3644852296305613,FS0_HT1,0,simulated
CCC,-0.07087456468081349,FS1_HT0,0,simulated
MAE,0.8164717967106577,FS1_HT0,0,simulated
R2,-0.3456064788013559,FS1_HT0,0,simulated
RMSE,1.0455329949753636,FS1_HT0,0,simulated
RMSPE,94.90384186429294,FS1_HT0,0,simulated
RSR,1.1533550160194248,FS1_HT0,0,simulated
r,-0.09977295423307303,FS1_HT0,0,simulated
r2,0.054155417613082214,FS1_HT0,0,simulated
CCC,-0.07368947293931605,FS1_HT1,0,simulated
MAE,0.8095773148090896,FS1_HT1,0,simulated
R2,-0.28970272673167596,FS1_HT1,0,simulated
RMSE,1.0273701578447352,FS1_HT1,0,simulated
RMSPE,75.36495748230479,FS1_HT1,0,simulated
RSR,1.1324564267054593,FS1_HT1,0,simulated
r,-0.14954436331036852,FS1_HT1,0,simulated
r2,0.0883498265885347,FS1_HT1,0,simulated
CCC,0.02071895146593649,FS0_HT0,0,spectral
MAE,4.891708356683352,FS0_HT0,0,spectral
R2,0.003593653023118715,FS0_HT0,0,spectral
RMSE,6.253237440155556,FS0_HT0,0,spectral
RMSPE,0.1297926619041125,FS0_HT0,0,spectral
RSR,0.9981734603995994,FS0_HT0,0,spectral
r,0.21993528587392835,FS0_HT0,0,spectral
r2,0.051668732578780116,FS0_HT0,0,spectral
CCC,0.030946927678026943,FS0_HT1,0,spectral
MAE,4.908133879093901,FS0_HT1,0,spectral
R2,-0.00034622899667478,FS0_HT1,0,spectral
RMSE,6.266771350045429,FS0_HT1,0,spectral
RMSPE,0.12999978715990143,FS0_HT1,0,spectral
RSR,1.0001574997342548,FS0_HT1,0,spectral
r,0.18161925702486634,FS0_HT1,0,spectral
r2,0.03738328941425385,FS0_HT1,0,spectral
CCC,0.02879957144929015,FS1_HT0,0,spectral
MAE,4.894097159007109,FS1_HT0,0,spectral
R2,0.004334120990511758,FS1_HT0,0,spectral
RMSE,6.253098154220627,FS1_HT0,0,spectral
RMSPE,0.1295310613359413,FS1_HT0,0,spectral
RSR,0.9977747973278992,FS1_HT0,0,spectral
r,0.18752127541651353,FS1_HT0,0,spectral
r2,0.04607718914835831,FS1_HT0,0,spectral
CCC,0.008106004543398349,FS1_HT1,0,spectral
MAE,4.925340372961377,FS1_HT1,0,spectral
R2,-0.006387139790604013,FS1_HT1,0,spectral
RMSE,6.285647201693094,FS1_HT1,0,spectral
RMSPE,0.13046947620245314,FS1_HT1,0,spectral
RSR,1.0031596142925867,FS1_HT1,0,spectral
r,0.13607864296107838,FS1_HT1,0,spectral
r2,0.0309528610049959,FS1_HT1,0,spectral
CCC,0.4064917082036989,FS0_HT0,1,simulated
MAE,0.6564828678560924,FS0_HT0,1,simulated
R2,0.2621725483232818,FS0_HT0,1,simulated
RMSE,0.8229174071436075,FS0_HT0,1,simulated
RMSPE,2.6905657497581106,FS0_HT0,1,simulated
RSR,0.8548423760597499,FS0_HT0,1,simulated
r,0.6174613914227977,FS0_HT0,1,simulated
r2,0.4042149281192103,FS0_HT0,1,simulated
CCC,0.4025289723582772,FS0_HT1,1,simulated
MAE,0.6723180626494536,FS0_HT1,1,simulated
R2,0.22636129198140226,FS0_HT1,1,simulated
RMSE,0.8467023335646067,FS0_HT1,1,simulated
RMSPE,2.8968469032775115,FS0_HT1,1,simulated
RSR,0.8769566053483555,FS0_HT1,1,simulated
r,0.5821894218108816,FS0_HT1,1,simulated
r2,0.35487851684190647,FS0_HT1,1,simulated
CCC,0.14031944287027523,FS1_HT0,1,simulated
MAE,0.8084896869781867,FS1_HT0,1,simulated
R2,-0.15090822870427217,FS1_HT0,1,simulated
RMSE,1.0271440918775725,FS1_HT0,1,simulated
RMSPE,4.1190606878376785,FS1_HT0,1,simulated
RSR,1.0693767482245824,FS1_HT0,1,simulated
r,0.24352728631142698,FS1_HT0,1,simulated
r2,0.07088622062294044,FS1_HT0,1,simulated
CCC,0.11695199537994849,FS1_HT1,1,simulated
MAE,0.8137035135253136,FS1_HT1,1,simulated
R2,-0.12968646751780835,FS1_HT1,1,simulated
RMSE,1.0188237236915456,FS1_HT1,1,simulated
RMSPE,4.607109856489819,FS1_HT1,1,simulated
RSR,1.059382260909501,FS1_HT1,1,simulated
r,0.2215189772532915,FS1_HT1,1,simulated
r2,0.06283420249698417,FS1_HT1,1,simulated
CCC,0.05399992319939338,FS0_HT0,1,spectral
MAE,4.868937002281884,FS0_HT0,1,spectral
R2,0.017698115547007332,FS0_HT0,1,spectral
RMSE,6.217597372627238,FS0_HT0,1,spectral
RMSPE,0.129046475519425,FS0_HT0,1,spectral
RSR,0.9910291557246781,FS0_HT0,1,spectral
r,0.17961566076218854,FS0_HT0,1,spectral
r2,0.033937163930185844,FS0_HT0,1,spectral
CCC,0.007069268493806079,FS0_HT1,1,spectral
MAE,4.945484871793259,FS0_HT1,1,spectral
R2,-0.012017763721956265,FS0_HT1,1,spectral
RMSE,6.312769989629695,FS0_HT1,1,spectral
RMSPE,0.13038614593670286,FS0_HT1,1,spectral
RSR,1.0059222234777099,FS0_HT1,1,spectral
r,0.08081155748966869,FS0_HT1,1,spectral
r2,0.0097384253928178,FS0_HT1,1,spectral
CCC,0.021649528520387894,FS1_HT0,1,spectral
MAE,4.907052945419572,FS1_HT0,1,spectral
R2,0.0038816411406011886,FS1_HT0,1,spectral
RMSE,6.261274919551792,FS1_HT0,1,spectral
RMSPE,0.1299550826681471,FS1_HT0,1,spectral
RSR,0.9980401188532401,FS1_HT0,1,spectral
r,0.14887562759274445,FS1_HT0,1,spectral
r2,0.023322851447941287,FS1_HT0,1,spectral
CCC,0.011874651150498404,FS1_HT1,1,spectral
MAE,5.003928506121406,FS1_HT1,1,spectral
R2,-0.0825178844120392,FS1_HT1,1,spectral
RMSE,6.487770316170838,FS1_HT1,1,spectral
RMSPE,0.13351241660478647,FS1_HT1,1,spectral
RSR,1.0384492358663167,FS1_HT1,1,spectral
r,0.047488680688967756,FS1_HT1,1,spectral
r2,0.011103653256504408,FS1_HT1,1,spectral
CCC,0.5122223020830124,FS0_HT0,2,simulated
MAE,0.649173271486684,FS0_HT0,2,simulated
R2,0.36382518633144745,FS0_HT0,2,simulated
RMSE,0.8148597541048378,FS0_HT0,2,simulated
RMSPE,1.4067452537462493,FS0_HT0,2,simulated
RSR,0.7965756783987615,FS0_HT0,2,simulated
r,0.7113588369773616,FS0_HT0,2,simulated
r2,0.513741094867272,FS0_HT0,2,simulated
CCC,0.498889834100474,FS0_HT1,2,simulated
MAE,0.6637249523031157,FS0_HT1,2,simulated
R2,0.32536385143056784,FS0_HT1,2,simulated
RMSE,0.8365038461519874,FS0_HT1,2,simulated
RMSPE,1.4112847551520233,FS0_HT1,2,simulated
RSR,0.8189842503202257,FS0_HT1,2,simulated
r,0.6650600604334996,FS0_HT1,2,simulated
r2,0.4587536162160383,FS0_HT1,2,simulated
CCC,0.14885519837928646,FS1_HT0,2,simulated
MAE,0.8145592772558601,FS1_HT0,2,simulated
R2,0.011419777668386399,FS1_HT0,2,simulated
RMSE,1.017067126424934,FS1_HT0,2,simulated
RMSPE,1.8827541336742883,FS1_HT0,2,simulated
RSR,0.9936606817869293,FS1_HT0,2,simulated
r,0.2542463157945174,FS1_HT0,2,simulated
r2,0.07211755250486511,FS1_HT0,2,simulated
CCC,0.1365824094035471,FS1_HT1,2,simulated
MAE,0.8407068654591854,FS1_HT1,2,simulated
R2,-0.03392212381745015,FS1_HT1,2,simulated
RMSE,1.0387836476107442,FS1_HT1,2,simulated
RMSPE,2.0492393934886195,FS1_HT1,2,simulated
RSR,1.0149272853562539,FS1_HT1,2,simulated
r,0.22161409631089507,FS1_HT1,2,simulated
r2,0.05900653278523329,FS1_HT1,2,simulated
CCC,0.025236427742747473,FS0_HT0,2,spectral
MAE,4.958086828201844,FS0_HT0,2,spectral
R2,-0.04546450302821494,FS0_HT0,2,spectral
RMSE,6.419171831458352,FS0_HT0,2,spectral
RMSPE,0.13174451096280462,FS0_HT0,2,spectral
RSR,1.0215606893387694,FS0_HT0,2,spectral
r,0.18019124347569465,FS0_HT0,2,spectral
r2,0.05015203559944527,FS0_HT0,2,spectral
CCC,0.01321733553222725,FS0_HT1,2,spectral
MAE,4.97495801565734,FS0_HT1,2,spectral
R2,-0.051475793991244204,FS0_HT1,2,spectral
RMSE,6.438420513398569,FS0_HT1,2,spectral
RMSPE,0.13230056650739755,FS0_HT1,2,spectral
RSR,1.024572443434653,FS0_HT1,2,spectral
r,0.1593395264340483,FS0_HT1,2,spectral
