trial,CCC,MAE,R2,RMSE,RMSPE,RSR,r,r2,bias,std
bias_0-std_0,1.000100010001,0.0,1.0,0.0,0.0,0.0,1.000100010001,1.0002000300040006,0,0
bias_0-std_0.5,0.9697895496142173,0.3988662167967045,0.937484825608557,0.4998541621438713,110.31756579252983,0.25001845879322726,0.970243405851381,0.941372603153759,0,0.5
bias_0-std_1,0.8888785759771984,0.797885701029656,0.7497434712346838,1.0001006991945238,196.08661459718616,0.5002328959281613,0.8944429351789632,0.8000321168275809,0,1
bias_0-std_2,0.6666081526154621,1.5958823501531618,-0.0010060403052418623,2.000166937603928,413.5031246357012,1.0004506006452494,0.7071657312156328,0.5001102720505031,0,2
bias_0-std_4,0.33364426179083734,3.191294650711597,-3.001963681238497,3.9993005515143074,994.5095516944335,2.000387716412899,0.4477810122493864,0.2005737468901683,0,4
bias_0-std_8,0.11092020390266213,6.3800775497138185,-15.00450081310312,7.99784012570332,1512.112742962931,4.000373321207352,0.24211240860238425,0.0586967154495943,0,8
bias_0.5-std_0,0.9697711722176249,0.5,0.9374511845754665,0.5,137.0951621782498,0.25009145231892277,1.000100010001,1.0002000300040006,0.5,0
bias_0.5-std_0.5,0.941247726984129,0.583146039596086,0.8749411256419902,0.7069861468753762,129.27592659529714,0.3536222516005898,0.9702315932307206,0.9413496827701674,0.5,0.5
bias_0.5-std_1,0.8648038818665792,0.895721825245266,0.6870925536308776,1.118297370991147,206.68091584647414,0.559353530983921,0.8944066283048043,0.7999672235971454,0.5,1
bias_0.5-std_2,0.6529258449439441,1.6454225658146582,-0.06311282963795392,2.0612976630048006,407.6628687508311,1.031024996014214,0.7069513680212685,0.49980469628552665,0.5,2
bias_0.5-std_4,0.3293930539875819,3.217315207682249,-3.0662450254040787,4.03130288385645,827.8521478671563,2.016389453001528,0.446546867315604,0.19946337937977293,0.5,4
bias_0.5-std_8,0.11056300898510084,6.395754701901341,-15.075438453192739,8.015517655902594,2370.45729943148,4.009226052558304,0.24223087764640347,0.05876554717820512,0.5,8
bias_1-std_0,0.8889028106307102,1.0,0.7498047383018662,1.0,274.1903243564996,0.5001829046378455,1.000100010001,1.0002000300040006,1,0
bias_1-std_0.5,0.8648581062096109,1.0084062556480704,0.6872472303510503,1.1180411364257263,301.6637294587036,0.5592246692280193,0.9701925615132806,0.9412739515859125,1,0.5
bias_1-std_1,0.8000553394730856,1.1663954093579523,0.4998776492764011,1.4138114652647378,262.08759275961455,0.7071633931392869,0.8945367941225226,0.8001998802661917,1,1
bias_1-std_2,0.615102271003457,1.791287757674435,-0.25122648834267763,2.2362389476912368,555.0892841843391,1.1185276433074032,0.7068101326378223,0.499604525628403,1,2
bias_1-std_4,0.3196324038485046,3.2894992373866128,-3.2494035649321393,4.121095333844331,870.3323397537422,2.0613031899716097,0.44651239123151226,0.19943509997580858,1,4
bias_1-std_8,0.10914996178288104,6.432365029882253,-15.259514359111826,8.061307444521422,1379.7005000315496,4.0321243704692815,0.24154133140073464,0.05842666495257503,1,8
bias_2-std_0,0.666574409280953,2.0,-0.0007810467925348807,2.0,548.3806487129992,1.000365809275691,1.000100010001,1.0002000300040006,2,0
bias_2-std_0.5,0.6529719238025118,2.00001690971795,-0.06330677586365775,2.0615231284164834,581.2963669632574,1.031138933549847,0.9702387411455003,0.9413635291423684,2,0.5
bias_2-std_1,0.6155487893280452,2.0157360730301033,-0.24967477995060555,2.234880796377699,607.1248388487818,1.1178498863056823,0.8944804019768271,0.800099533516381,2,1
bias_2-std_2,0.49945401191312105,2.335162918420674,-1.003935432922435,2.830065844635126,688.5073405776379,1.415545514676348,0.7068972344356459,0.4997277767555553,2,2
bias_2-std_4,0.28623660012166263,3.5811311466653812,-4.000594307824559,4.470548287084921,1215.8140295691767,2.2360906042930586,0.4479769809892708,0.20075090131285073,2,4
bias_2-std_8,0.1052783165224595,6.579000506190956,-16.002506443083554,8.243387355463579,2162.3468697516178,4.1232032183802465,0.2425484610674712,0.05892027126171939,2,8
bias_4-std_0,0.33322236778402065,4.0,-3.0031241871701395,4.0,1096.7612974259985,2.000731618551382,1.000100010001,1.0002000300040006,4,0
bias_4-std_0.5,0.3297628897110663,4.000148018965611,-3.0659831327079936,4.031275583460657,1122.5754685523902,2.0163761329778405,0.9702180483510254,0.9413233966430521,4,0.5
bias_4-std_1,0.3198087159768768,4.000556006864952,-3.254345227611222,4.123594195011764,1072.9894972028685,2.0625503561306724,0.8944598872234324,0.8000620357228535,4,1
bias_4-std_2,0.2855428332448868,4.033963598944529,-4.004523273218211,4.472383660539029,1077.0723042672066,2.237007351427316,0.7068134830172881,0.4996104027742387,4,2
bias_4-std_4,0.19988958660971098,4.666301615131386,-7.005164236756407,5.656371506205351,1682.7806407434628,2.829218857185171,0.4471855969254388,0.20004400684961166,4,4
bias_4-std_8,0.09098596986846913,7.16259017776848,-19.003120072269134,8.941264607593391,2403.267808983467,4.472267525101391,0.24268268918814936,0.058987009963433285,4,8
bias_8-std_0,0.11106241869732457,8.0,-15.012496748680558,8.0,2193.522594851997,4.001463237102764,1.000100010001,1.0002000300040006,8,0
bias_8-std_0.5,0.11067320884576838,8.000110276294924,-15.075494109728782,8.015722518048564,2221.2569338398825,4.009326753100186,0.9702137845886153,0.941315113918712,8,0.5
bias_8-std_1,0.10950846726475424,7.999697329472616,-15.26140471424159,8.06192873313479,2290.426825559351,4.032439878464027,0.8944207569464758,0.7999927878412257,8,1
bias_8-std_2,0.10521951692660288,7.998998015682224,-16.009592945755166,8.245306781382146,2324.1947861046465,4.124159326236323,0.7069175895129297,0.49976128921240215,8,2
bias_8-std_4,0.09083861520220872,8.067813361461061,-19.017459075542103,8.944620896985603,2110.3806636278296,4.473942336471217,0.4469287451027072,0.1998106417675223,8,4
bias_8-std_8,0.05893995751648779,9.329692296744199,-31.01289977721508,11.311438623969291,3103.6305032651685,5.657762701005209,0.2429690346820498,0.05912263353686185,8,8
