trial,FNR,FPR,TNR,TPR,accuracy,f05,f1,f2,mcc,precision,recall,sensitivity,specificity,pos,conf
pos_1-conf_1,0.0,0.998789115971451,0.0012108840285490537,1.0,0.100664,0.12154704188874532,0.18115462239988814,0.35565721209296247,0.013184416559923804,0.0996829390140115,1.0,1.0,0.0012108840285490537,1,1
pos_1-conf_3,0.01138322155077498,0.9296359803583402,0.07036401964165988,0.988616778449225,0.1618,0.12809513509748394,0.19005623369520358,0.36830851757576566,0.07171619933793326,0.10522762532802518,0.988616778449225,0.988616778449225,0.07036401964165988,1,3
pos_1-conf_5,0.10692863835401388,0.6571141599166036,0.34288584008339634,0.8930713616459861,0.39767399999999997,0.15750271795756993,0.22772280272281523,0.4112299296269631,0.15139008276644617,0.13065103971257516,0.8930713616459861,0.8930713616459861,0.34288584008339634,1,5
pos_1-conf_7,0.4160510085538951,0.2558508279040954,0.7441491720959046,0.5839489914461049,0.728202,0.23179744325899915,0.2991398360919937,0.42231506242134076,0.21669863620696878,0.20159025094609262,0.5839489914461049,0.5839489914461049,0.7441491720959046,1,7
pos_1-conf_9,0.8846584501327783,0.015688608512407352,0.9843113914875927,0.11534154986722173,0.897794,0.28114198491602893,0.18221833169351362,0.13513869183449168,0.18780313244819097,0.44770992744733046,0.11534154986722173,0.11534154986722173,0.9843113914875927,1,9
pos_3-conf_1,2.6050393291753293e-05,0.9987571804717464,0.001242819528253542,0.9999739496067083,0.30080399999999996,0.34899800322801083,0.46158002738050197,0.681620925584266,0.02365502635402124,0.30019765897245393,0.9999739496067083,0.9999739496067083,0.001242819528253542,3,1
pos_3-conf_3,0.010840862436533602,0.9296023600375947,0.07039763996240542,0.9891591375634664,0.345974,0.36266091538940826,0.47549138376874406,0.6904769138511428,0.1220058574355315,0.3131383778316195,0.9891591375634664,0.9891591375634664,0.07039763996240542,3,3
pos_3-conf_5,0.10900447209533244,0.6550054032921035,0.3449945967078964,0.8909955279046676,0.508746,0.41707624675015,0.5208280464930215,0.6935663248108513,0.24230567097535527,0.3682033529517202,0.8909955279046676,0.8909955279046676,0.3449945967078964,3,5
pos_3-conf_7,0.42023476814528027,0.2554211401301972,0.7445788598698029,0.5797652318547197,0.695108,0.5080231282714778,0.5324879778924454,0.5597567836531779,0.31101334959466853,0.49305058950048725,0.5797652318547197,0.5797652318547197,0.7445788598698029,3,7
pos_3-conf_9,0.8861966384897986,0.015711870444992327,0.9842881295550077,0.11380336151020143,0.7231960000000001,0.3535907158206873,0.19739837117328612,0.13700329217634366,0.21613674891521095,0.7568593334064517,0.11380336151020143,0.11380336151020143,0.9842881295550077,3,9
pos_5-conf_1,7.264547153943001e-05,0.9987865887796821,0.0012134112203178837,0.9999273545284606,0.501452,0.556654227254166,0.6675540951123139,0.833774613227021,0.031887591297813704,0.5011674051417662,0.9999273545284606,0.9999273545284606,0.0012134112203178837,5,1
pos_5-conf_3,0.010845934072312786,0.9294912864366749,0.07050871356332522,0.9891540659276873,0.530652,0.5709574316069435,0.6784472473253004,0.835930836949734,0.1506938860496898,0.5164299471092293,0.9891540659276873,0.9891540659276873,0.07050871356332522,5,3
pos_5-conf_5,0.10907729237709977,0.6557392455200847,0.34426075447991533,0.8909227076229003,0.618082,0.620574415512202,0.700161725530698,0.8033044404625939,0.2809586381060501,0.5768885934108414,0.8909227076229003,0.8909227076229003,0.34426075447991533,5,5
pos_5-conf_7,0.4185108849183136,0.2558042767024137,0.7441957232975863,0.5814891150816864,0.662672,0.6688245805510599,0.6330187841827691,0.6010135521536366,0.33003390225106083,0.6951729819701984,0.5814891150816864,0.5814891150816864,0.7441957232975863,5,7
pos_5-conf_9,0.8845679307908783,0.015904518076137207,0.9840954819238629,0.11543206920912179,0.54899,0.37713448128463245,0.2037578880314533,0.13964029784461185,0.20037166766120232,0.8789675156512841,0.11543206920912179,0.11543206920912179,0.9840954819238629,5,9
pos_7-conf_1,6.257370669831608e-05,0.9986800289085584,0.0013199710914415428,0.9999374262933016,0.700918,0.7453861296654154,0.8239980201650831,0.9212215443031503,0.04519185077599495,0.7008314002432533,0.9999374262933016,0.9999374262933016,0.0013199710914415428,7,1
pos_7-conf_3,0.010981131132720564,0.9293717474244977,0.07062825257550234,0.9890188688672795,0.7140299999999999,0.7555193418456908,0.8288526144768324,0.9180253001065605,0.16272640795161977,0.7134571363120628,0.9890188688672795,0.9890188688672795,0.07062825257550234,7,3
pos_7-conf_5,0.10952531721694445,0.6557896356959723,0.3442103643040277,0.8904746827830555,0.7269019999999999,0.7833960787984418,0.8203285627775473,0.8609944211960374,0.2797900232998694,0.7605982859933946,0.8904746827830555,0.8904746827830555,0.3442103643040277,7,5
pos_7-conf_7,0.4196116929202304,0.2556753466426959,0.7443246533573041,0.5803883070797696,0.629472,0.7719033003602124,0.6868097437382474,0.6187130736698964,0.2975901984027501,0.8415393792006376,0.5803883070797696,0.5803883070797696,0.7443246533573041,7,7
pos_7-conf_9,0.8859741816681386,0.016139983731895152,0.9838600162681048,0.11402581833186134,0.374474,0.38340128984392685,0.20324943563798237,0.13830946497651625,0.16082003089885794,0.9430110070575478,0.11402581833186134,0.11402581833186134,0.9838600162681048,7,9
pos_9-conf_1,6.42082701674187e-05,0.9986145375712421,0.0013854624287579559,0.9999357917298325,0.900154,0.9185008666696443,0.9474189926696563,0.9782380285411768,0.06736772762265042,0.9001923150954163,0.9999357917298325,0.9999357917298325,0.0013854624287579559,9,1
pos_9-conf_3,0.010788441156109,0.9284215940500442,0.07157840594995579,0.989211558843891,0.897504,0.9211774169926311,0.9455465925627023,0.9712624368348003,0.14053631548346118,0.905627405141992,0.989211558843891,0.989211558843891,0.07157840594995579,9,3
pos_9-conf_5,0.10885106185373886,0.6544771710370044,0.3455228289629957,0.8911489381462612,0.8366079999999999,0.9176749283585703,0.9075123475779503,0.8976106233251557,0.2092069723985568,0.9246006530923221,0.8911489381462612,0.8911489381462612,0.3455228289629957,9,5
pos_9-conf_7,0.4211044574102667,0.2517931933084757,0.7482068066915242,0.5788955425897333,0.5957939999999999,0.8443509687902719,0.7203868530943168,0.6282367760941985,0.19682337520793067,0.9539115867832558,0.5788955425897333,0.5788955425897333,0.7482068066915242,9,7
pos_9-conf_9,0.8858245118993899,0.015903904178365215,0.9840960958216348,0.11417548810061008,0.201104,0.3893183456610697,0.20447090373984234,0.13866811765876633,0.09624812750879655,0.9848168460567374,0.11417548810061008,0.11417548810061008,0.9840960958216348,9,9
