Method,Metric,N,Bias,Variance
,,,median,median
10-Fold CV,Correlation,50,0.006070480616925979,0.0
10-Fold CV,Correlation,100,0.010217459134980414,0.0
10-Fold CV,Correlation,500,0.007762052748620218,0.0
10-Fold CV,R2,50,-0.807342686389336,0.0
10-Fold CV,R2,100,-0.19959406721270528,0.0
10-Fold CV,R2,500,-0.015202054030882187,0.0
10-Fold CV,RMSE,50,-0.037543043513053265,0.10307991804338842
10-Fold CV,RMSE,100,-0.013348983716695129,0.04590067452450458
10-Fold CV,RMSE,500,-0.0015305873007832593,0.008246189468753874
2-Fold CV,Correlation,50,0.014497924362049084,0.0
2-Fold CV,Correlation,100,0.005484646777250745,0.0
2-Fold CV,Correlation,500,0.003794799108695193,0.0
2-Fold CV,R2,50,-0.6001508205994788,0.0
2-Fold CV,R2,100,-0.1670530624579357,0.0
2-Fold CV,R2,500,-0.014540546127952645,0.0
2-Fold CV,RMSE,50,0.1912015374520326,0.007099517435432853
2-Fold CV,RMSE,100,0.06613439547947808,0.001884911287366717
2-Fold CV,RMSE,500,0.013024346442167212,0.000393443697031818
5-Fold CV,Correlation,50,0.007815439737962613,0.0
5-Fold CV,Correlation,100,0.003409260231362653,0.0
5-Fold CV,Correlation,500,0.006225274212809033,0.0
5-Fold CV,R2,50,-0.38502456097497684,0.0
5-Fold CV,R2,100,-0.10548704118054113,0.0
5-Fold CV,R2,500,-0.006310245679312659,0.0
5-Fold CV,RMSE,50,0.013924313275520683,0.04315188025353341
5-Fold CV,RMSE,100,0.008686198585641569,0.01855807521802983
5-Fold CV,RMSE,500,0.0022040884559189067,0.003492988664854634
In-Sample,Correlation,50,0.4427594430804006,0.0
In-Sample,Correlation,100,0.30890668312271463,0.0
In-Sample,Correlation,500,0.13969772470246142,0.0
In-Sample,R2,50,0.47685981817154766,0.0
In-Sample,R2,100,0.2286616532473222,0.0
In-Sample,R2,500,0.052369402133637055,0.0
In-Sample,RMSE,50,-0.2505597957093102,0.0
In-Sample,RMSE,100,-0.1140038470683446,0.0
In-Sample,RMSE,500,-0.02021717768893344,0.0
LOOCV,Correlation,50,-0.05986839564826679,0.0
LOOCV,Correlation,100,-0.04684783108462375,0.0
LOOCV,Correlation,500,-0.01896170876822022,0.0
LOOCV,R2,50,-0.05857758430391147,0.0
LOOCV,R2,100,-0.010690674420786958,0.0
LOOCV,R2,500,0.007932532791919435,0.0
LOOCV,RMSE,50,0.0011871012005874038,0.4439419650961782
LOOCV,RMSE,100,0.004122396597330824,0.39986918776254055
LOOCV,RMSE,500,0.0021157540049476786,0.36920740250085793
