N,Method,Metric,Bias,Variance
50,In-Sample,Correlation,0.4707554093993321,0
50,In-Sample,R2,0.5126254614376623,0
50,In-Sample,RMSE,-0.06549895178197251,0
50,In-Sample,Correlation,0.5079671459182745,0
50,In-Sample,R2,0.5188228733232058,0
50,In-Sample,RMSE,-0.11244724836712489,0
50,In-Sample,Correlation,0.5049879917600084,0
50,In-Sample,R2,0.6332329171116862,0
50,In-Sample,RMSE,-0.09817238135265452,0
50,In-Sample,Correlation,0.3738204198500976,0
50,In-Sample,R2,0.35627833316253,0
50,In-Sample,RMSE,-0.047315491989751324,0
50,In-Sample,Correlation,0.37282282157905067,0
50,In-Sample,R2,0.28149707686995046,0
50,In-Sample,RMSE,-0.04696951514951203,0
50,In-Sample,Correlation,0.5509931567166175,0
50,In-Sample,R2,0.6193268830061563,0
50,In-Sample,RMSE,-0.09999608461545756,0
50,In-Sample,Correlation,0.3221072389092024,0
50,In-Sample,R2,0.28450544590570365,0
50,In-Sample,RMSE,-0.030824366080022425,0
50,In-Sample,Correlation,0.3458978115856119,0
50,In-Sample,R2,0.2891821277044273,0
50,In-Sample,RMSE,-0.030070509940202605,0
50,In-Sample,Correlation,0.43066085634756995,0
50,In-Sample,R2,0.3354887626062318,0
50,In-Sample,RMSE,-0.0858457944160006,0
50,In-Sample,Correlation,0.5189216243176646,0
50,In-Sample,R2,0.7899109766876875,0
50,In-Sample,RMSE,-0.0924866778425536,0
50,In-Sample,Correlation,0.42906821089191344,0
50,In-Sample,R2,0.42577602696752115,0
50,In-Sample,RMSE,-0.04904054398234947,0
50,In-Sample,Correlation,0.5271902250614581,0
50,In-Sample,R2,0.526672919273349,0
50,In-Sample,RMSE,-0.09837396336458207,0
50,In-Sample,Correlation,0.36456774637397693,0
50,In-Sample,R2,0.33341096290333005,0
50,In-Sample,RMSE,-0.07439401358454281,0
50,In-Sample,Correlation,0.500698225208406,0
50,In-Sample,R2,0.6554396935385974,0
50,In-Sample,RMSE,-0.08621428297012212,0
50,In-Sample,Correlation,0.4702979489104927,0
50,In-Sample,R2,0.5671974785218149,0
50,In-Sample,RMSE,-0.0850324505473597,0
50,In-Sample,Correlation,0.372317049293903,0
50,In-Sample,R2,0.3419570476726378,0
50,In-Sample,RMSE,-0.07491955313835014,0
50,In-Sample,Correlation,0.41622031695695283,0
50,In-Sample,R2,0.33037495814283796,0
50,In-Sample,RMSE,-0.056486179375483336,0
50,In-Sample,Correlation,0.5043719936485729,0
50,In-Sample,R2,0.6347375187665361,0
50,In-Sample,RMSE,-0.08556375237600233,0
50,In-Sample,Correlation,0.3266390302431984,0
50,In-Sample,R2,0.3064537347050529,0
50,In-Sample,RMSE,-0.04895666192313192,0
50,In-Sample,Correlation,0.40968585125140944,0
50,In-Sample,R2,0.3558428726242695,0
50,In-Sample,RMSE,-0.06730092741967411,0
50,In-Sample,Correlation,0.3253917789367742,0
50,In-Sample,R2,0.2787964445164733,0
50,In-Sample,RMSE,-0.0741439910063165,0
50,In-Sample,Correlation,0.4735967865340124,0
50,In-Sample,R2,0.6427134082073677,0
50,In-Sample,RMSE,-0.08930697372328525,0
50,In-Sample,Correlation,0.5169613561697214,0
50,In-Sample,R2,0.5156145268215331,0
50,In-Sample,RMSE,-0.08064764388590054,0
50,In-Sample,Correlation,0.5093951196828579,0
50,In-Sample,R2,0.6733891669281924,0
50,In-Sample,RMSE,-0.10169717434170847,0
50,In-Sample,Correlation,0.25878316354757946,0
50,In-Sample,R2,0.20201804486940145,0
50,In-Sample,RMSE,-0.034359276772274905,0
50,In-Sample,Correlation,0.4559242378905522,0
50,In-Sample,R2,0.4700328733144408,0
50,In-Sample,RMSE,-0.051754726629593795,0
50,In-Sample,Correlation,0.5335752869800783,0
50,In-Sample,R2,0.9228739438848791,0
50,In-Sample,RMSE,-0.11009340081884578,0
50,In-Sample,Correlation,0.3338548801203457,0
50,In-Sample,R2,0.3032040878171266,0
50,In-Sample,RMSE,-0.058179861682276734,0
50,In-Sample,Correlation,0.4349044379601964,0
50,In-Sample,R2,0.4543112629537379,0
50,In-Sample,RMSE,-0.06393639527570671,0
50,In-Sample,Correlation,0.48551665914933195,0
50,In-Sample,R2,0.8045629108205824,0
50,In-Sample,RMSE,-0.10258358483283381,0
50,In-Sample,Correlation,0.4046541237813378,0
50,In-Sample,R2,0.4393891681058703,0
50,In-Sample,RMSE,-0.04221108671026963,0
50,In-Sample,Correlation,0.4276384555914942,0
50,In-Sample,R2,0.4743326029252006,0
50,In-Sample,RMSE,-0.07004353517081274,0
50,In-Sample,Correlation,0.30817003484647254,0
50,In-Sample,R2,0.26835186349750884,0
50,In-Sample,RMSE,-0.03762748132562377,0
50,In-Sample,Correlation,0.3404000346969212,0
50,In-Sample,R2,0.290358192139188,0
50,In-Sample,RMSE,-0.049150270847679145,0
50,In-Sample,Correlation,0.2904429316280247,0
50,In-Sample,R2,0.15872926668734583,0
50,In-Sample,RMSE,-0.03291462947467211,0
50,In-Sample,Correlation,0.37645011442455045,0
50,In-Sample,R2,0.29683878318826235,0
50,In-Sample,RMSE,-0.06210104979250877,0
50,In-Sample,Correlation,0.5536542551400417,0
50,In-Sample,R2,0.6337215446152984,0
50,In-Sample,RMSE,-0.11803492091533238,0
50,In-Sample,Correlation,0.45541339095252564,0
50,In-Sample,R2,0.48274811790191396,0
50,In-Sample,RMSE,-0.09181122505637329,0
50,In-Sample,Correlation,0.3762864667241331,0
50,In-Sample,R2,0.3259554499262724,0
50,In-Sample,RMSE,-0.044361300454665575,0
50,In-Sample,Correlation,0.5198054333731132,0
50,In-Sample,R2,0.7878201597213107,0
50,In-Sample,RMSE,-0.09404684920889167,0
50,In-Sample,Correlation,0.3858902894800138,0
50,In-Sample,R2,0.3852624592181175,0
50,In-Sample,RMSE,-0.066966454401715,0
50,In-Sample,Correlation,0.38811033751945456,0
50,In-Sample,R2,0.31223832247789135,0
50,In-Sample,RMSE,-0.014231834978492508,0
50,In-Sample,Correlation,0.4778347995223931,0
50,In-Sample,R2,0.47747744888873767,0
50,In-Sample,RMSE,-0.07426241189973351,0
50,In-Sample,Correlation,0.37197089494836216,0
50,In-Sample,R2,0.4012664533185329,0
50,In-Sample,RMSE,-0.021031097803396404,0
50,In-Sample,Correlation,0.41540209242528653,0
50,In-Sample,R2,0.4947045440757658,0
