approach,r,iter
s1,0.8421700489208508,0
s2,0.2551956711931208,0
s3,0.10364138662588593,0
s4,0.06328772105076877,0
s1,0.8401640269992278,1
s2,0.10122524329362852,1
s3,0.058059116668115675,1
s4,-0.043123176497240664,1
s1,0.7770162479419513,2
s2,0.11034181699391724,2
s3,-0.051119424240967104,2
s4,-0.16231240385347023,2
s1,0.8430105056536409,3
s2,0.2680736325754153,3
s3,0.17980552077275208,3
s4,0.17886693112040533,3
s1,0.7881180776507959,4
s2,0.1283433753008467,4
s3,0.08993234493145838,4
s4,0.0036637308029978098,4
s1,0.7870117853271111,5
s2,0.11256852401076008,5
s3,-0.09453458573362841,5
s4,-0.07391091731113249,5
s1,0.8160230740584483,6
s2,0.16730380702403552,6
s3,-0.049542863457079075,6
s4,0.03608724451902502,6
s1,0.8024328499409377,7
s2,0.2109877760925835,7
s3,0.06493878242868786,7
s4,0.03189658351823132,7
s1,0.7529375956968185,8
s2,0.056552667377214094,8
s3,-0.04071544873696793,8
s4,-0.07068486858307417,8
s1,0.8294654408195941,9
s2,0.22442995551629213,9
s3,0.1694543608272253,9
s4,0.06977791054405913,9
